--Common
Languages	en	es	pt	ja
Sin Mal (Real World)	Sin Mal from the real world, and the third sister of the bunch. While she acts rude and swears a lot, she secretly cares greatly for her two sisters. Enters Kyuushou's dream world with the help of Yssring.
Houraiji Kyuushou	A girl that seems to have lost her memories and has a strange backhanded fighting style.
Raiden Mei	Or Mei Raiden as you'd say in English. A Japanese schoolgirl and Kiana Kaslana's best friend.


Kiana Kaslana	A star student at St. Freya High School...?
Kiana Kaslana_2	A Herrscher that sleeps...?
Kiana Kaslana_3	The Herrscher of the End that failed to save humanity, instead being taken over by the Will of the Honkai and wiping it out. Chooses to wait for Kyuushou to die from her coma in the real world instead of killing the Firte Moths.

Theresa Apocalpyse	A very young looking female that happens to be the former principal of St. Freya High School. Her weapon is a massive cross. Rumor has it that she's actually over 60 years old...
'
#[Dictionary_Powers]
Project Bunny	Bronya's mecha. It's a mystery where it's stored all the time, but Bronya can summon it using Honkai Energy. It was created from Bronya undergoing the X-10 Experiment. It has the ability to wirelessly hack into machines.

